Index,Name,Full_Name,Intensity,Space,Hemi,Region,ICN,R,A,S
1,LH_VisCent_ExStr_1,LH_VisCent_ExStr_1,1,T1w,L,cortex,VisCent,-26,-76,-14
2,LH_VisCent_ExStr_2,LH_VisCent_ExStr_2,2,T1w,L,cortex,VisCent,-26,-96,-4
3,LH_VisCent_Striate_1,LH_VisCent_Striate_1,3,T1w,L,cortex,VisCent,-6,-92,-2
4,LH_VisCent_ExStr_3,LH_VisCent_ExStr_3,4,T1w,L,cortex,VisCent,-26,-88,20
5,LH_VisPeri_ExStrInf_1,LH_VisPeri_ExStrInf_1,5,T1w,L,cortex,VisPeri,-18,-60,-6
6,LH_VisPeri_StriCal_1,LH_VisPeri_StriCal_1,6,T1w,L,cortex,VisPeri,-12,-66,6
7,LH_VisPeri_ExStrSup_1,LH_VisPeri_ExStrSup_1,7,T1w,L,cortex,VisPeri,-6,-82,26
8,LH_SomMotA_1,LH_SomMotA_1,8,T1w,L,cortex,SomMotA,-40,-22,58
9,LH_SomMotA_2,LH_SomMotA_2,9,T1w,L,cortex,SomMotA,-6,-28,70
10,LH_SomMotB_Aud_1,LH_SomMotB_Aud_1,10,T1w,L,cortex,SomMotB,-54,-22,8
11,LH_SomMotB_S2_1,LH_SomMotB_S2_1,11,T1w,L,cortex,SomMotB,-36,-22,16
12,LH_SomMotB_S2_2,LH_SomMotB_S2_2,12,T1w,L,cortex,SomMotB,-54,-12,14
13,LH_SomMotB_Cent_1,LH_SomMotB_Cent_1,13,T1w,L,cortex,SomMotB,-54,-8,34
14,LH_DorsAttnA_TempOcc_1,LH_DorsAttnA_TempOcc_1,14,T1w,L,cortex,DorsAttnA,-46,-58,-12
15,LH_DorsAttnA_ParOcc_1,LH_DorsAttnA_ParOcc_1,15,T1w,L,cortex,DorsAttnA,-48,-70,10
16,LH_DorsAttnA_SPL_1,LH_DorsAttnA_SPL_1,16,T1w,L,cortex,DorsAttnA,-24,-68,50
17,LH_DorsAttnB_PostC_1,LH_DorsAttnB_PostC_1,17,T1w,L,cortex,DorsAttnB,-58,-24,38
18,LH_DorsAttnB_PostC_2,LH_DorsAttnB_PostC_2,18,T1w,L,cortex,DorsAttnB,-42,-34,48
19,LH_DorsAttnB_PostC_3,LH_DorsAttnB_PostC_3,19,T1w,L,cortex,DorsAttnB,-22,-50,66
20,LH_DorsAttnB_FEF_1,LH_DorsAttnB_FEF_1,20,T1w,L,cortex,DorsAttnB,-26,-4,60
21,LH_SalVentAttnA_ParOper_1,LH_SalVentAttnA_ParOper_1,21,T1w,L,cortex,SalVentAttnA,-58,-38,30
22,LH_SalVentAttnA_Ins_1,LH_SalVentAttnA_Ins_1,22,T1w,L,cortex,SalVentAttnA,-42,-2,-6
23,LH_SalVentAttnA_Ins_2,LH_SalVentAttnA_Ins_2,23,T1w,L,cortex,SalVentAttnA,-38,12,6
24,LH_SalVentAttnA_ParMed_1,LH_SalVentAttnA_ParMed_1,24,T1w,L,cortex,SalVentAttnA,-12,-34,46
25,LH_SalVentAttnA_FrMed_1,LH_SalVentAttnA_FrMed_1,25,T1w,L,cortex,SalVentAttnA,-6,4,62
26,LH_SalVentAttnB_PFCl_1,LH_SalVentAttnB_PFCl_1,26,T1w,L,cortex,SalVentAttnB,-30,44,30
27,LH_SalVentAttnB_PFCmp_1,LH_SalVentAttnB_PFCmp_1,27,T1w,L,cortex,SalVentAttnB,-6,20,34
28,LH_LimbicB_OFC_1,LH_LimbicB_OFC_1,28,T1w,L,cortex,LimbicB,-14,32,-20
29,LH_LimbicA_TempPole_1,LH_LimbicA_TempPole_1,29,T1w,L,cortex,LimbicA,-32,2,-38
30,LH_LimbicA_TempPole_2,LH_LimbicA_TempPole_2,30,T1w,L,cortex,LimbicA,-58,-32,-22
31,LH_ContA_IPS_1,LH_ContA_IPS_1,31,T1w,L,cortex,ContA,-38,-52,46
32,LH_ContA_PFCl_1,LH_ContA_PFCl_1,32,T1w,L,cortex,ContA,-44,32,20
33,LH_ContA_PFCl_2,LH_ContA_PFCl_2,33,T1w,L,cortex,ContA,-48,6,28
34,LH_ContB_PFClv_1,LH_ContB_PFClv_1,34,T1w,L,cortex,ContB,-24,60,-2
35,LH_ContC_pCun_1,LH_ContC_pCun_1,35,T1w,L,cortex,ContC,-10,-74,38
36,LH_ContC_pCun_2,LH_ContC_pCun_2,36,T1w,L,cortex,ContC,-6,-60,56
37,LH_ContC_Cingp_1,LH_ContC_Cingp_1,37,T1w,L,cortex,ContC,-4,-26,34
38,LH_DefaultA_PFCd_1,LH_DefaultA_PFCd_1,38,T1w,L,cortex,DefaultA,-26,20,52
39,LH_DefaultA_pCunPCC_1,LH_DefaultA_pCunPCC_1,39,T1w,L,cortex,DefaultA,-6,-52,34
40,LH_DefaultA_PFCm_1,LH_DefaultA_PFCm_1,40,T1w,L,cortex,DefaultA,-6,46,0
41,LH_DefaultB_Temp_1,LH_DefaultB_Temp_1,41,T1w,L,cortex,DefaultB,-56,-4,-20
42,LH_DefaultB_Temp_2,LH_DefaultB_Temp_2,42,T1w,L,cortex,DefaultB,-58,-32,-2
43,LH_DefaultB_IPL_1,LH_DefaultB_IPL_1,43,T1w,L,cortex,DefaultB,-48,-64,36
44,LH_DefaultB_PFCd_1,LH_DefaultB_PFCd_1,44,T1w,L,cortex,DefaultB,-8,48,42
45,LH_DefaultB_PFCl_1,LH_DefaultB_PFCl_1,45,T1w,L,cortex,DefaultB,-40,14,48
46,LH_DefaultB_PFCv_1,LH_DefaultB_PFCv_1,46,T1w,L,cortex,DefaultB,-34,22,-10
47,LH_DefaultB_PFCv_2,LH_DefaultB_PFCv_2,47,T1w,L,cortex,DefaultB,-46,34,-4
48,LH_DefaultC_Rsp_1,LH_DefaultC_Rsp_1,48,T1w,L,cortex,DefaultC,-12,-56,12
49,LH_DefaultC_PHC_1,LH_DefaultC_PHC_1,49,T1w,L,cortex,DefaultC,-26,-34,-18
50,LH_TempPar_1,LH_TempPar_1,50,T1w,L,cortex,TempPar,-58,-50,12
51,RH_VisCent_ExStr_1,RH_VisCent_ExStr_1,51,T1w,R,cortex,VisCent,28,-66,-12
52,RH_VisCent_ExStr_2,RH_VisCent_ExStr_2,52,T1w,R,cortex,VisCent,22,-96,-4
53,RH_VisCent_ExStr_3,RH_VisCent_ExStr_3,53,T1w,R,cortex,VisCent,36,-82,16
54,RH_VisPeri_StriCal_1,RH_VisPeri_StriCal_1,54,T1w,R,cortex,VisPeri,8,-76,6
55,RH_VisPeri_ExStrInf_1,RH_VisPeri_ExStrInf_1,55,T1w,R,cortex,VisPeri,18,-58,6
56,RH_VisPeri_ExStrSup_1,RH_VisPeri_ExStrSup_1,56,T1w,R,cortex,VisPeri,12,-86,30
57,RH_SomMotA_1,RH_SomMotA_1,57,T1w,R,cortex,SomMotA,46,-12,48
58,RH_SomMotA_2,RH_SomMotA_2,58,T1w,R,cortex,SomMotA,40,-22,60
59,RH_SomMotA_3,RH_SomMotA_3,59,T1w,R,cortex,SomMotA,30,-38,64
60,RH_SomMotA_4,RH_SomMotA_4,60,T1w,R,cortex,SomMotA,6,-28,70
61,RH_SomMotB_Aud_1,RH_SomMotB_Aud_1,61,T1w,R,cortex,SomMotB,52,-16,6
62,RH_SomMotB_S2_1,RH_SomMotB_S2_1,62,T1w,R,cortex,SomMotB,40,-16,16
